CGPA,Internships,Projects,Workshops/Certifications,AptitudeTestScore,SoftSkillsRating,ExtracurricularActivities,PlacementTraining,SSC_Marks,HSC_Marks,PlacementStatus,salary
7.5,1,1,1,65,4.4,0,0,61,79,0,
8.9,0,3,2,90,4,1,1,78,82,1,
7.3,1,2,2,82,4.8,1,0,79,80,0,
7.5,1,1,2,85,4.4,1,1,81,80,1,
8.3,1,2,2,86,4.5,1,1,74,88,1,
7,0,2,2,71,4.2,1,0,55,66,0,
7.7,1,1,1,76,4,0,0,62,65,0,
7.7,2,1,0,85,3.5,1,1,59,72,0,
6.5,1,1,0,84,3.9,0,1,75,71,0,
7.8,1,3,2,79,4.4,1,1,85,86,1,
8.3,2,3,2,90,4.8,1,1,82,88,1,
7.9,1,3,2,90,4.8,1,1,71,87,1,
8.3,2,3,2,90,4.5,1,1,84,83,1,
7.7,1,1,1,74,4.6,0,1,63,73,0,
7.5,1,1,1,66,4.1,0,0,61,66,0,
7.4,0,2,1,78,4.4,0,0,63,66,0,
8.6,0,3,0,84,4.8,1,1,62,78,1,
8.2,2,3,2,90,4.7,1,1,84,86,1,
6.8,2,3,0,73,4.4,1,1,72,82,1,
7.4,1,2,0,70,4.4,0,1,58,63,0,
7.6,2,1,0,84,4.4,0,1,77,75,1,
7.4,1,2,1,72,3.5,0,1,82,69,1,
7.7,0,1,0,77,3.4,0,1,55,72,1,
7.4,1,1,0,60,3.8,0,0,55,71,0,
7.4,1,2,1,90,4.3,0,1,56,69,0,
6.7,1,1,1,70,4,0,0,68,57,0,
7.4,2,3,2,78,4.3,1,1,76,82,0,
8.3,1,1,1,81,4.5,1,1,64,65,0,
7.5,1,2,1,84,4.4,0,0,66,73,0,
7,0,1,1,63,3.9,0,1,60,61,0,
8.4,2,3,2,90,4.6,1,1,55,80,1,
7.4,1,2,1,76,4.7,0,1,66,69,0,
8.5,1,3,0,90,4.8,1,1,85,85,1,
8.6,1,2,2,75,4.3,1,1,62,80,1,
6.9,0,1,0,70,3.9,0,1,79,68,1,
7.8,1,1,1,67,4.3,0,0,65,73,0,
8.3,1,2,2,89,4.8,1,1,75,81,1,
8.2,1,2,2,77,4.2,0,1,72,72,1,
8.5,2,3,3,90,4.7,1,1,79,86,1,
6.7,0,3,2,88,4.2,1,1,72,86,1,
8.6,2,3,1,90,4.8,1,1,63,84,1,
8.3,2,3,2,85,4.8,1,1,77,83,1,
6.7,0,1,1,72,4.4,0,0,55,60,0,
8.6,2,3,2,88,4.7,1,1,80,87,1,
7.4,1,3,0,86,4.8,0,1,70,73,0,
6.7,1,1,2,73,4.5,0,0,55,66,1,
6.9,1,1,1,76,4.4,0,0,55,65,0,
7,1,1,0,62,4.3,0,1,59,67,0,
8.1,1,3,2,90,4.6,1,1,77,87,1,
7.7,1,2,0,74,3.8,1,0,55,66,0,
6.5,0,2,1,77,4.8,0,1,56,65,0,
8.2,1,3,0,65,4.1,1,0,66,65,0,
8.1,2,3,2,90,4.7,1,1,82,82,1,
6.5,1,2,1,80,4.5,1,1,72,67,0,
6.5,0,2,1,72,4.5,0,0,57,69,0,
8.8,2,3,2,90,4.8,1,1,86,88,1,
8,1,1,0,74,4.5,1,1,55,65,0,
8.4,2,2,2,81,4.6,1,1,77,82,1,
8,1,1,0,86,4.2,0,0,55,83,0,
6.6,0,1,0,76,3.9,0,1,78,69,1,
7.7,2,2,0,86,4,1,1,79,64,0,
8.2,1,2,1,86,4.3,1,1,86,63,1,
7.2,1,2,0,74,4.1,0,0,70,65,0,
6.6,1,2,1,72,4.1,0,0,55,75,0,
7.6,1,2,0,77,4.6,1,0,84,67,0,
8,0,3,0,68,4.2,1,0,64,83,1,
7.8,2,3,2,87,4.8,1,0,90,83,0,
7.2,1,1,0,82,4.6,1,1,57,64,0,
7.7,1,1,0,74,4.1,0,1,57,68,1,
8.4,1,1,2,67,3.8,1,1,76,69,0,
7.5,1,1,1,69,4.3,0,1,71,76,0,
6.7,0,2,1,79,4.1,0,0,78,67,0,
8.1,2,3,2,90,4.8,1,1,80,86,1,
7.5,1,2,0,73,4.4,0,0,66,84,0,
7.4,2,1,0,75,4.2,0,1,65,84,0,
6.5,1,1,0,63,4.5,0,1,57,68,0,
8.1,1,3,1,90,4.6,1,1,73,86,1,
6.9,1,1,0,83,3.5,0,1,61,71,0,
8.2,1,3,0,83,4.8,1,1,71,84,1,
7.6,1,2,1,72,3.9,0,1,58,66,0,
6.6,1,1,1,69,3.6,0,1,55,72,0,
6.7,1,2,1,74,4.8,1,1,72,64,1,
8.2,2,3,2,76,4.5,1,1,73,82,0,
8.3,2,3,1,90,4.2,1,1,82,83,1,
7.6,0,2,0,86,4.8,1,1,57,72,1,
6.7,1,3,0,87,4.6,1,0,81,69,0,
8.1,0,2,1,84,3.8,0,0,71,68,0,
8.5,1,2,2,79,3.9,1,1,76,66,1,
8.8,1,3,0,76,4.7,1,1,75,84,1,
7.2,1,2,0,68,4.2,1,1,57,66,0,
7.6,1,1,0,80,4.5,1,1,66,67,0,
7.1,1,1,0,70,3.3,0,0,55,66,0,
8.1,1,3,2,89,4.6,1,1,86,80,1,
7.4,1,3,0,83,4.2,0,1,65,82,0,
7.7,2,2,2,85,4.8,1,1,74,83,0,
7.5,0,1,1,75,3.3,0,1,61,73,0,
7.5,1,1,0,64,4,0,0,73,66,0,
7.8,2,2,2,90,4.8,1,0,81,82,1,
7.7,1,3,1,89,4.6,0,1,61,84,1,
7.9,0,1,2,83,4.8,1,0,58,81,0,
7.4,1,2,1,63,3.9,0,0,55,67,0,
7.3,1,1,0,80,4.7,0,1,64,65,0,
6.5,1,1,1,62,3.8,0,1,58,65,0,
7.5,2,1,1,76,4.2,1,1,57,80,0,
6.5,1,1,0,68,4.1,0,0,61,66,0,
8.5,2,3,2,90,4.8,1,1,72,87,1,
6.7,0,1,1,74,3.9,0,0,55,70,0,
6.5,0,1,0,82,4.4,0,0,65,69,0,
8.1,1,3,2,90,4.8,1,1,79,84,1,
8.7,2,3,2,90,4.8,1,1,79,85,1,
8,1,1,3,84,4,0,1,57,61,0,
7.3,1,3,1,81,4.2,1,1,69,65,0,
7.4,1,1,1,81,4.1,1,0,55,62,0,
8.6,2,3,0,81,4.7,1,0,71,83,1,
6.7,2,1,2,76,4.8,1,0,55,78,0,
7.6,1,1,1,67,3.5,0,0,55,67,0,
8.8,1,3,2,90,4.6,1,1,83,83,1,
6.5,1,2,0,65,4.4,0,1,61,68,0,
6.5,1,2,1,78,4.2,0,0,62,62,0,
7.4,1,2,1,75,4.2,0,1,55,74,0,
8.7,2,3,2,81,4.7,1,1,85,79,1,
8,1,1,1,68,4.2,0,1,59,66,0,
7.7,1,3,2,90,4.8,1,0,80,85,1,
7.3,1,1,0,64,3.2,0,1,58,67,0,
8.4,2,1,2,76,4.1,0,0,56,63,0,
7.7,1,2,0,73,4,0,1,65,75,1,
7.5,1,1,1,68,4.7,0,0,58,64,0,
7.4,0,1,0,79,4.3,0,0,63,73,0,
7.4,1,1,1,64,4.3,0,1,73,73,0,
8.5,1,2,2,90,4.8,1,1,80,86,1,
8,1,3,0,80,4.4,1,1,85,84,1,
6.5,1,1,1,72,3.8,0,0,64,67,0,
8.4,1,1,0,81,4.6,1,0,78,82,1,
8.7,0,3,2,88,4.8,0,0,87,84,0,
8,0,1,0,60,4,0,0,57,70,0,
8.4,2,3,1,88,4.6,1,1,74,82,0,
8.2,2,3,2,90,4.4,1,1,90,81,1,
8.1,2,2,2,90,4.5,1,1,73,82,1,
7.9,1,3,1,75,3.7,0,1,62,65,0,
8.9,2,3,2,90,4.8,1,1,69,85,1,
6.5,1,1,1,72,4.5,0,0,66,70,0,
7.6,1,1,0,73,4.3,0,1,55,76,1,
8.4,1,3,2,90,4.6,1,1,67,80,1,
7.8,2,3,0,77,4.8,1,1,79,87,0,
8.4,1,2,1,74,4.3,1,1,59,80,1,
7.6,1,2,0,74,3.7,0,1,58,74,1,
7.9,1,1,1,62,4.6,1,1,87,82,0,
7.9,1,3,1,80,4.2,1,1,56,82,1,
8,2,1,2,90,4.8,1,1,74,81,0,
7.9,2,1,0,83,4,1,1,63,70,0,
8.4,2,3,2,90,4.8,1,1,90,85,1,
8.6,0,3,2,90,4.8,1,1,73,78,1,
7.8,0,1,0,81,3.9,1,1,79,65,1,
8.1,2,3,3,90,4.8,1,1,80,83,1,
7.2,1,3,1,75,4.2,1,1,64,84,0,
7.7,0,1,0,81,4.8,1,1,69,63,1,
8.4,1,3,2,90,4.5,1,1,79,86,1,
8,1,3,1,87,4.6,1,1,72,83,0,
7.8,0,1,1,72,4,0,0,61,69,0,
6.5,1,1,0,63,3.5,0,0,56,64,0,
6.5,0,3,0,71,3.6,0,1,57,74,0,
7.9,1,2,1,81,4,1,1,60,71,0,
6.7,1,1,0,75,4.2,0,0,56,64,0,
6.9,0,1,0,73,4.1,0,1,55,69,1,
6.5,1,1,2,85,4.3,1,0,62,72,1,
6.5,0,1,1,79,3.9,0,0,55,66,0,
7.3,1,1,1,71,3.6,0,0,65,64,0,
8.3,2,3,0,71,4.6,1,1,77,82,1,
7.5,1,1,1,74,3.9,0,0,63,65,0,
8,2,3,3,76,4.1,1,1,78,61,0,
8.3,1,2,1,69,3.8,0,1,76,71,0,
6.6,0,3,0,87,4.5,0,0,80,82,0,
7.4,0,3,0,90,4.6,0,0,65,70,0,
8,1,1,1,78,4.4,0,0,66,68,0,
8,2,3,2,90,4.8,1,1,78,86,1,
6.7,1,2,0,73,4.5,0,1,55,65,0,
8.3,1,2,3,78,3.8,1,0,67,65,0,
8.5,1,3,2,90,4.8,1,1,61,86,1,
7.5,2,1,2,90,4.8,1,0,55,65,0,
7.4,1,1,0,60,3.4,0,0,58,62,0,
8.4,0,1,2,88,4.8,1,1,74,82,1,
8.2,1,3,0,82,4.8,1,1,70,73,1,
6.5,1,1,0,74,4.2,0,1,74,61,0,
7.7,1,1,0,71,4.7,0,1,57,69,0,
7.3,1,2,2,67,4.5,0,0,63,66,0,
6.5,0,1,0,78,3.7,1,1,75,69,0,
6.5,1,1,1,68,4.1,0,0,55,65,0,
7.5,1,1,0,76,4.3,0,1,73,79,0,
7.8,1,1,1,65,3.9,0,0,55,70,0,
6.8,1,1,0,78,4.3,0,0,61,62,0,
8.4,2,3,2,90,4.1,1,1,76,82,1,
7.8,2,2,2,80,4.6,0,1,59,74,1,
7.5,1,2,0,77,4.2,1,1,58,63,0,
8.9,0,1,2,80,4.8,1,1,75,82,1,
6.5,0,1,0,75,3.7,0,0,58,62,0,
8.4,1,1,2,87,4.1,0,0,78,70,0,
8.1,0,1,0,71,3.6,1,0,69,67,0,
8.5,2,3,0,86,4.2,1,1,60,85,1,
7.6,1,1,1,82,4.8,1,1,79,86,1,
7.8,2,3,0,79,4.3,1,0,87,87,0,
8.6,1,3,2,90,4.7,1,1,68,84,1,
7.9,2,3,2,76,4.6,1,1,79,82,1,
6.5,0,2,2,75,4.5,1,0,65,59,0,
8.2,0,2,1,82,4.5,1,1,78,87,1,
8.2,1,1,0,81,4.3,1,1,60,70,1,
7.6,1,1,0,64,4.1,0,0,69,67,0,
7.3,1,2,1,84,4.6,0,1,55,72,0,
8.4,2,3,2,90,4.5,1,1,85,79,1,
8.3,2,3,3,90,4.5,1,1,70,88,1,
7.8,1,3,0,88,4.8,1,1,70,78,1,
8.3,1,2,1,82,4.7,1,1,77,84,0,
7.5,1,1,1,69,4.1,0,0,55,75,0,
8.6,2,3,2,78,4.8,1,1,82,81,0,
7.8,2,2,2,77,4.2,1,0,57,69,0,
6.6,1,1,1,71,4.3,0,0,70,66,0,
7.4,0,1,1,70,4.2,0,0,61,70,0,
6.9,1,2,1,74,4.1,0,0,55,69,0,
6.6,1,1,0,77,4.5,0,0,62,70,0,
8.3,1,2,2,88,4.1,1,1,80,79,1,
7.9,2,2,2,88,4.8,1,1,81,85,1,
6.6,1,2,1,76,4.1,1,1,82,69,0,
8,2,3,2,86,4.8,1,1,62,83,1,
7.5,1,2,0,86,3.8,0,0,55,68,0,
7.9,2,3,2,90,4.8,1,0,81,78,0,
8.3,1,3,2,78,3.9,1,1,60,61,1,
7.4,1,1,0,74,3.5,0,1,67,62,0,
8,2,2,2,87,3.8,1,1,79,78,1,
8.7,2,3,2,87,4.7,1,1,80,84,1,
7.4,1,2,0,77,4.5,0,1,66,86,0,
7.9,2,3,2,90,4.8,1,1,83,88,1,
7.5,1,1,1,70,4.6,0,0,59,66,0,
7.4,2,1,1,87,4.5,1,1,68,84,0,
7.7,0,1,1,69,4.8,1,1,78,65,0,
7.8,0,1,1,70,3.8,0,1,73,73,0,
7.5,2,3,0,88,4.6,1,1,79,83,0,
8.2,2,3,1,69,4,1,1,77,82,0,
7.8,1,3,2,75,4.3,1,1,77,86,0,
7.6,1,1,0,72,4.6,1,1,68,84,0,
8.5,2,3,2,90,4.8,1,1,80,79,1,
6.7,0,1,1,71,4.7,0,1,76,70,0,
7.6,1,3,0,82,4.5,0,1,56,72,0,
